gene_id,symbol,entrezid,gene_biotype,Biological Group,,,,,,,,,,,,,,,,,,,,
,,,,LT-HSC,,,LSK,,,PROG,,,CMP,,,GMP,,,MEP,,,LIN,,
,,,,LT-HSC-1,LT-HSC-2,LT-HSC-3,LSK-1,LSK-2,LSK-3,PROG-1,PROG-2,PROG-3,CMP-1,CMP-2,CMP-3,GMP-1,GMP-2,GMP-3,MEP-1,MEP-2,MEP-3,LIN-1,LIN-2,LIN-3
 , , , ,in9,in13,in17,in2,in6,in22,in11,in15,in19,in4,in8,in24,in1,in5,in21,in3,in7,in23,in12,in16,in20
ENSMUSG00000000001,Gnai3,14679,protein_coding,186,297,414,395,446,185,74,600,618,29,187,128,36,195,301,19,232,348,390,547,812
ENSMUSG00000000003,Pbsn,54192,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,12544,protein_coding,183.362,253.22386,249,134.183,185.932,165.96,91.2967,359.374,473.767,43.0287,193.845,192.92752,102.458,175.583,194.092,88.0707,241.817,350.981,123.919,165,197
ENSMUSG00000000037,Scml2,107815,protein_coding,0.959069,0.210574,0.960076,18,3.000000122,1.95627,0,1.73655,1.55987,0,0.456714,4.94546,0,0,0,0.369319,4.18971086,4.37569,0.9597,0,1.38482
ENSMUSG00000000049,Apoh,11818,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ENSMUSG00000000056,Narf,67608,protein_coding,68,87,144.0002,177,124,59,28,141.99963,288,12,48,51,15,43,1,46,337.99993,273.97789,215,241,345.99978
ENSMUSG00000000058,Cav2,12390,protein_coding,6.000005,1,10,5,8,1,1,2,3,0,0,0,0,2,0,1,1,0,9,13,8
ENSMUSG00000000078,Klf6,23849,protein_coding,506.179,231.117,358,147,146.846,116.381,135.477,595.032,352.392,20.8685,75.0612,62.4804,1.17809,19.3549,1,7.78266,25.8678,94,699,979.903,984.264
ENSMUSG00000000085,Scmh1,,protein_coding,89.69803,58.15458,126.31981,139.44847,63.92873,133.60566,17.259966,106.90655,171.07391,34.61260397,64.31325,72.07876,19.00002,24.99997,48.99997,18.86323003,31.19118,91.8279,80.34404,71.57568,107.8601
ENSMUSG00000000088,Cox5a,12858,protein_coding,1590.67,5712.45,1795.76,2730.37,6095.86,2234.94,1184.53,2936.25,3525.06,2234.77,6005.47,2292.17,2349.32,5469.82,1818.06,1679.91,6436.53,3720.84,776.798,1117.65,1478.55
ENSMUSG00000000093,Tbx2,21385,protein_coding,4,0,0,1,0,0,1,0,5,1,0,0,0,0,0,2,0,0,1,1,2
ENSMUSG00000000094,Tbx4,21387,protein_coding,0,0,0,0,0,0,0,2.00371,2.00233,1,0,0,0,0,0,0,1,2,1.00386,0,0
ENSMUSG00000000103,Zfy2,,protein_coding,0,0,0,0,0,0,1.000000403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,18053,protein_coding,2.10041,1.16937,3.02795,2.07424,1.00883,0,0,1.0281,1.0303,2.13662,0,0,0,0,0,0,4.06986,2.01456,1.14733,1.01328,2.04079
ENSMUSG00000000125,Wnt3,22415,protein_coding,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,Wnt9a,216795,protein_coding,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
ENSMUSG00000000127,Fer,14158,protein_coding,0,1.86809,0,0,0,0,0,0,0,0,0,3.61154,0,1,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,74204,protein_coding,217.99988,80.72398,294.241935,181.73888,178.000031,164.29548,62.208808,233.20547,382.27351,43.040001,114.999936,172.999928,39.999931,44.396966,356.9996,49.94035,70.67512,216.77828,328.63461,324.318227,443.999907
ENSMUSG00000000134,Tfe3,209446,protein_coding,121.2399001,125.99971,212.99997,164.99991,100.3146501,110.9997485,57.99998,262.99954,290.99974,22.99997,68.99997005,105.0000314,21.99996217,31.46112,225,28.99999004,136.44092,222.00003,296.5621,504.0004,467.9999
ENSMUSG00000000142,Axin2,12006,protein_coding,2,1,2,0,0,0,2.000004,0,4,0,2,3,0,0,0,0.619067,0,3,5,1,4
ENSMUSG00000000148,Brat1,231841,protein_coding,0,5.36656,0,0,46.58667,38.21224,1.06185,0,11.863,1,0,2.03389,0,0,0,19.15163,3.25443,2,38.80198,2.18822,0
ENSMUSG00000000149,Gna12,14673,protein_coding,323.884,324,336,234,236,262.928,93,210,442,72,215.769,277,92,155,745,123,335.968,486,127,143,212
ENSMUSG00000000154,Slc22a18,,protein_coding,11.5767,0,21,23.5364,0,21.65174,0,0,10,4,4,8.77E-08,3,2,0,0,2.3749,3,0,6,8
ENSMUSG00000000157,Itgb2l,16415,protein_coding,58.7215,81.5431,114.935,11.3366,10.8144,12.2059,57.5692,444.8350059,421.637,0,3,2,0.134346,5,7,0,7,13,1298.353,1937.1772,236.8306
ENSMUSG00000000159,Igsf5,72058,protein_coding,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2
